Phrase Table: 5,575 unique phrase pairs from 1000 sentence pairs (max phrase length = 5)
Costs are in bits: -log2(probability). Lower = more probable.

Source (Spanish)                         Target (English)                            cost(f|e)    cost(e|f)   count
sabrá                                    will                                           2.8074      -0.0000       1
televisión                               television                                     1.0000      -0.0000       1
televisión que                           television that                               -0.0000      -0.0000       1
una serie                                a number                                      -0.0000      -0.0000       1
una serie de                             a number of                                   -0.0000      -0.0000       1
serie                                    number                                         3.0000      -0.0000       1
serie de                                 number of                                     -0.0000      -0.0000       1
por                                      killings                                      -0.0000       6.3576       1
en sri lanka                             in sri lanka                                  -0.0000      -0.0000       1
en sri lanka .                           in sri lanka .                                -0.0000      -0.0000       1
sri lanka                                sri lanka                                     -0.0000      -0.0000       1
sri lanka .                              sri lanka .                                   -0.0000      -0.0000       1
las personas                             people                                         3.4594      -0.0000       1
pocos                                    few                                            1.5850      -0.0000       1
pocos meses                              few months                                    -0.0000      -0.0000       1
hace pocos meses                         few months ago                                -0.0000      -0.0000       1
esa                                      expressing                                    -0.0000       2.3219       1
todo lo                                  everything                                     1.5850      -0.0000       1
posible                                  possibly                                      -0.0000       2.8074       1
pacífica                                 peaceful                                      -0.0000      -0.0000       1
reconciliación pacífica                  peaceful reconciliation                       -0.0000      -0.0000       1
reconciliación                           reconciliation                                -0.0000      -0.0000       1
difícil                                  difficult                                     -0.0000       1.0000       1
difícil situación                        difficult situation                           -0.0000      -0.0000       1
una iniciativa                           an initiative                                 -0.0000      -0.0000       1
, haré lo que                            , i shall do as                               -0.0000      -0.0000       1
haré lo que                              i shall do as                                 -0.0000      -0.0000       1
lo                                       do as                                         -0.0000       5.4263       1
señor evans acaba                        mr evans has                                  -0.0000      -0.0000       1
evans acaba                              evans has                                     -0.0000      -0.0000       1
asunto del                               raise                                         -0.0000      -0.0000       1
plurianual                               multiannual                                   -0.0000      -0.0000       1
jueves y                                 thursday and                                  -0.0000      -0.0000       1
apartado 6                               paragraph 6                                   -0.0000      -0.0000       1
debe aplicarse                           should be                                      1.0000      -0.0000       1
aplicarse                                be                                             5.0875      -0.0000       1
se                                       introduced                                    -0.0000       6.5699       1
no                                       fail                                          -0.0000       7.3038       1
reducción                                reduction                                     -0.0000       1.5850       1
objetivos                                targets                                       -0.0000       3.8074       1
del principio de                         principle of                                   1.5850      -0.0000       1
estabilidad relativa                     relative stability                            -0.0000      -0.0000       1
legal fundamental                        fundamental legal                             -0.0000      -0.0000       1
legal                                    legal                                          2.8074      -0.0000       1
,                                        would                                          2.8074       7.2946       1
legalmente                               legally                                       -0.0000      -0.0000       1
sólo                                     merely                                        -0.0000       4.7004       1
propuesta legislativa                    legislative proposal                          -0.0000      -0.0000       1
jueves .                                 on thursday .                                 -0.0000      -0.0000       1
momento                                  time when                                     -0.0000       3.0000       1
lo                                       may                                            2.5850       5.4263       1
presente                                 presentation                                   2.0000      -0.0000       1
coincidiendo                             coinciding                                    -0.0000      -0.0000       1
próximo jueves                           next thursday                                 -0.0000      -0.0000       1
estados unidos                           america                                        1.0000      -0.0000       1
ejecución                                execution                                     -0.0000       2.3219       1
los                                      young                                          1.5850       5.5546       1
34                                       34                                            -0.0000      -0.0000       1
entre                                    including                                      1.0000       5.1699       1
le pido                                  would ask                                      2.0000      -0.0000       1
constantemente                           constantly                                    -0.0000      -0.0000       1
del                                      power                                          1.5850       4.4594       1
con los                                  with the                                      -0.0000      -0.0000       1
con los principios                       with the principles                           -0.0000      -0.0000       1
con los principios que                   with the principles that                      -0.0000      -0.0000       1
los principios                           the principles                                -0.0000      -0.0000       1
los principios que                       the principles that                           -0.0000      -0.0000       1
principios                               principles                                    -0.0000      -0.0000       1
principios que                           principles that                               -0.0000      -0.0000       1
parlamento siempre ha                    house has always                              -0.0000      -0.0000       1
parlamento siempre ha adoptado           house has always adopted                      -0.0000      -0.0000       1
parlamento siempre ha adoptado .         house has always adopted .                    -0.0000      -0.0000       1
siempre ha                               has always                                    -0.0000      -0.0000       1
siempre ha adoptado                      has always adopted                            -0.0000      -0.0000       1
siempre ha adoptado .                    has always adopted .                          -0.0000      -0.0000       1
adoptado                                 adopted                                        2.0000      -0.0000       1
adoptado .                               adopted .                                     -0.0000      -0.0000       1
la atención                              attention to                                   1.5850      -0.0000       1
caso                                     case in                                       -0.0000       4.2479       1
es el                                    it is the                                     -0.0000       1.0000       1
es el caso                               it is the case                                -0.0000      -0.0000       1
es el caso de                            it is the case of                             -0.0000      -0.0000       1
el caso                                  the case                                      -0.0000      -0.0000       1
el caso de                               the case of                                   -0.0000      -0.0000       1
el caso de alexander nikitin             the case of alexander nikitin                 -0.0000      -0.0000       1
caso de                                  case of                                       -0.0000      -0.0000       1
caso de alexander nikitin                case of alexander nikitin                     -0.0000      -0.0000       1
caso de alexander nikitin .              case of alexander nikitin .                   -0.0000      -0.0000       1
de alexander nikitin                     of alexander nikitin                          -0.0000      -0.0000       1
de alexander nikitin .                   of alexander nikitin .                        -0.0000      -0.0000       1
alexander nikitin .                      alexander nikitin .                           -0.0000      -0.0000       1
celebramos aquí                          here are                                      -0.0000      -0.0000       1
celebramos                               are                                            5.3576      -0.0000       1
en rusia                                 in russia                                     -0.0000      -0.0000       1
rusia                                    russia                                        -0.0000      -0.0000       1
acceso                                   access                                        -0.0000      -0.0000       1
acceso a                                 access to                                     -0.0000      -0.0000       1
constitucional                           constitutional                                -0.0000      -0.0000       1
que                                      he                                             1.0000       7.6366       1
pues                                     because                                        4.7004       2.3219       1
afirmado                                 stated                                        -0.0000      -0.0000       1
resoluciones                             resolutions                                   -0.0000      -0.0000       1
nosotros                                 solely                                         1.0000       3.0000       1
jurídico                                 legal                                          2.8074      -0.0000       1
caso jurídico                            legal case                                    -0.0000      -0.0000       1
lo                                       wrong                                         -0.0000       5.4263       1
a alexander nikitin                      alexander nikitin to                          -0.0000      -0.0000       1
sus resultados                           his findings                                  -0.0000      -0.0000       1
resultados                               findings                                      -0.0000       2.3219       1
por ello                                 why                                            3.9069       1.0000       1
hechos                                   facts                                         -0.0000      -0.0000       1
con                                      expressed                                     -0.0000       6.1898       1
esta                                     clear                                          3.4594       5.3576       1
sí , señora schroedter ,                 yes , mrs schroedter ,                        -0.0000      -0.0000       1
, señora schroedter ,                    , mrs schroedter ,                            -0.0000      -0.0000       1
buena                                    received                                      -0.0000       2.3219       1
su carta                                 your letter                                   -0.0000      -0.0000       1
su carta .                               your letter .                                 -0.0000      -0.0000       1
carta .                                  letter .                                      -0.0000      -0.0000       1
efectivamente                            fact                                           3.0000      -0.0000       1
con                                      kept                                          -0.0000       6.1898       1
con su                                   kept your                                     -0.0000       1.5850       1
sesiones                                 part-session                                   1.0000       1.0000       1
por                                      indeed                                         1.0000       6.3576       1
se                                       increased                                      1.0000       6.5699       1
embargo , señora presidenta ,            but , madam president ,                       -0.0000      -0.0000       1
, señora presidenta ,                    , madam president ,                           -0.0000      -0.0000       1
lo que                                   request                                        2.8074       2.0000       1
no se ha                                 has not been                                   1.0000      -0.0000       1
portugués                                portuguese                                    -0.0000      -0.0000       1
aún no                                   still no                                      -0.0000       1.0000       1
canal                                    channel                                       -0.0000      -0.0000       1
había pedido                             had requested                                 -0.0000      -0.0000       1
noticias                                 news                                           1.0000       1.0000       1
cuando nos                               when we                                       -0.0000      -0.0000       1
las                                      place                                          2.5850       5.1699       1
cada mes                                 every month                                   -0.0000      -0.0000       1
quisiera                                 i would                                       -0.0000       3.7004       1
se                                       ask                                            2.3219       6.5699       1
de                                       get                                            1.0000       7.0980       1
neerlandés                               dutch                                         -0.0000      -0.0000       1
señora plooij-van gorsel                 mrs plooij-van gorsel                         -0.0000      -0.0000       1
señora plooij-van gorsel ,               mrs plooij-van gorsel ,                       -0.0000      -0.0000       1
, puedo decirle                          , i can tell you                              -0.0000      -0.0000       1
puedo decirle                            i can tell you                                -0.0000       1.0000       1
puedo decirle que                        i can tell you that                           -0.0000      -0.0000       1
que esa                                  that this                                      1.5850      -0.0000       1
que esa cuestión                         that this matter                              -0.0000      -0.0000       1
que esa cuestión está                    that this matter is                           -0.0000      -0.0000       1
que esa cuestión está en                 that this matter is on                        -0.0000      -0.0000       1
esa cuestión                             this matter                                    1.0000      -0.0000       1
esa cuestión está                        this matter is                                -0.0000      -0.0000       1
esa cuestión está en                     this matter is on                             -0.0000      -0.0000       1
cuestión está                            matter is                                     -0.0000      -0.0000       1
cuestión está en                         matter is on                                  -0.0000      -0.0000       1
está en                                  is on                                         -0.0000       1.0000       1
cuestores                                quaestors                                     -0.0000      -0.0000       1
reunión                                  meeting                                       -0.0000      -0.0000       1
miércoles                                wednesday                                     -0.0000       1.0000       1
miércoles .                              wednesday .                                   -0.0000      -0.0000       1
señora presidenta , ¿podría              madam president , can                         -0.0000      -0.0000       1
, ¿podría                                , can                                         -0.0000      -0.0000       1
¿podría                                  can                                            3.4594      -0.0000       1
por qué                                  why                                            3.9069      -0.0000       1
por qué este                             why this                                      -0.0000      -0.0000       1
por qué este parlamento                  why this parliament                           -0.0000      -0.0000       1
que hemos                                we                                             5.4594      -0.0000       1
elegidos ?                               elected ?                                     -0.0000      -0.0000       1
de sanidad                               health                                         2.0000      -0.0000       1
de sanidad y                             health and                                     2.0000      -0.0000       1
de sanidad y seguridad                   health and safety                              1.5850      -0.0000       1
comité de sanidad y seguridad            health and safety committee                   -0.0000      -0.0000       1
comité de                                committee                                      4.9069      -0.0000       1
1998 ?                                   1998 ?                                        -0.0000      -0.0000       1
bruselas                                 brussels                                      -0.0000      -0.0000       1
estrasburgo                              strasbourg                                    -0.0000      -0.0000       1
instrucciones                            instructions                                  -0.0000      -0.0000       1
desde mi                                 since my                                      -0.0000      -0.0000       1
desde mi accidente                       since my accident                             -0.0000      -0.0000       1
desde mi accidente ?                     since my accident ?                           -0.0000      -0.0000       1
mi accidente                             my accident                                   -0.0000      -0.0000       1
mi accidente ?                           my accident ?                                 -0.0000      -0.0000       1
accidente                                accident                                      -0.0000      -0.0000       1
accidente ?                              accident ?                                    -0.0000      -0.0000       1
se                                       enforced                                      -0.0000       6.5699       1
totalmente                               absolutely                                    -0.0000      -0.0000       1
una                                      pass                                          -0.0000       6.3219       1
una legislación                          pass legislation                              -0.0000      -0.0000       1
una legislación y                        pass legislation and                          -0.0000      -0.0000       1
legislación y                            legislation and                               -0.0000      -0.0000       1
no la                                    not                                            7.0444      -0.0000       1
no se han hecho                          not been done                                  1.0000      -0.0000       1
no se han hecho de                       not been done                                  1.0000      -0.0000       1
se han hecho                             been done                                      1.0000      -0.0000       1
se han hecho de                          been done                                      1.0000      -0.0000       1
hecho de                                 done                                           2.5850      -0.0000       1
las                                      comply                                         1.0000       5.1699       1
votamos                                  vote on                                       -0.0000      -0.0000       1
votamos .                                vote on .                                     -0.0000      -0.0000       1
presidenta                               madam president                                4.6439      -0.0000       1
y yo                                     and i                                         -0.0000      -0.0000       1
habíamos                                 had                                            2.5850      -0.0000       1
habíamos presentado                      had tabled                                    -0.0000      -0.0000       1
preguntas sobre                          questions on                                  -0.0000      -0.0000       1
preguntas sobre determinadas             questions on certain                          -0.0000      -0.0000       1
preguntas sobre determinadas opiniones   questions on certain opinions                 -0.0000      -0.0000       1
sobre determinadas                       on certain                                    -0.0000      -0.0000       1
sobre determinadas opiniones             on certain opinions                           -0.0000      -0.0000       1
determinadas opiniones                   certain opinions                              -0.0000      -0.0000       1
opiniones                                opinions                                      -0.0000      -0.0000       1
palacio                                  palacio                                       -0.0000       1.0000       1
en un diario                             appeared in a                                 -0.0000      -0.0000       1
en un diario español                     appeared in a spanish                         -0.0000      -0.0000       1
en un                                    in a                                           1.5850      -0.0000       1
español                                  spanish                                       -0.0000      -0.0000       1
orden del día                            agenda on                                     -0.0000       1.0000       1
por                                      grounds                                       -0.0000       6.3576       1
sesión                                   part-session                                   1.0000       2.3219       1
ruego                                    i would ask                                    1.0000      -0.0000       1
ruego que                                i would ask that                              -0.0000      -0.0000       1
contestadas                              answered                                      -0.0000      -0.0000       1
palacio                                  de palacio                                    -0.0000       1.0000       1
intervención                             intervention                                   1.5850       2.0000       1
con                                      occasion                                      -0.0000       6.1898       1
aparecidas                               newspaper                                     -0.0000      -0.0000       1
noviembre                                november                                      -0.0000      -0.0000       1
, vamos a                                , we shall                                    -0.0000      -0.0000       1
vamos a                                  we shall                                       1.5850      -0.0000       1
, de momento , las                       , at present , the                            -0.0000      -0.0000       1
momento                                  at present                                    -0.0000       3.0000       1
un tanto                                 somewhat                                       1.0000      -0.0000       1
inmensa                                  vast                                          -0.0000      -0.0000       1
inmensa mayoría                          vast majority                                 -0.0000      -0.0000       1
no                                       not to                                        -0.0000       7.3038       1
es extremadamente peligrosa              is extremely dangerous                        -0.0000      -0.0000       1
extremadamente peligrosa                 extremely dangerous                           -0.0000      -0.0000       1
en                                       there                                          3.0000       7.5469       1
por lo tanto                             so                                             3.4594       2.3219       1
parlamento debe                          parliament should                             -0.0000      -0.0000       1
parlamento debe enviar                   parliament should send                        -0.0000      -0.0000       1
parlamento debe enviar un                parliament should send a                      -0.0000      -0.0000       1
parlamento debe enviar un mensaje        parliament should send a message              -0.0000      -0.0000       1
debe enviar                              should send                                   -0.0000      -0.0000       1
debe enviar un                           should send a                                 -0.0000      -0.0000       1
debe enviar un mensaje                   should send a message                         -0.0000      -0.0000       1
enviar                                   send                                          -0.0000      -0.0000       1
enviar un                                send a                                        -0.0000      -0.0000       1
enviar un mensaje                        send a message                                -0.0000      -0.0000       1
un mensaje                               a message                                     -0.0000      -0.0000       1
ya                                       since                                          3.4594       3.8074       1
ya que                                   since that                                    -0.0000      -0.0000       1
deseo de                                 wish of                                       -0.0000       1.0000       1
mayoría .                                majority .                                    -0.0000      -0.0000       1
negarse a                                to refuse to renew                            -0.0000      -0.0000       1
ha dicho                                 have said                                     -0.0000       1.0000       1
situación allí                           situation there                               -0.0000      -0.0000       1
situación allí es                        situation there is                            -0.0000      -0.0000       1
situación allí es extremadamente         situation there is extremely                  -0.0000      -0.0000       1
allí                                     there                                          3.0000      -0.0000       1
allí es                                  there is                                       2.8074      -0.0000       1
allí es extremadamente                   there is extremely                            -0.0000      -0.0000       1
golpe militar                            military coup                                 -0.0000      -0.0000       1
no sabemos                               not know                                      -0.0000      -0.0000       1
no sabemos lo                            not know what                                 -0.0000      -0.0000       1
sabemos lo                               know what                                     -0.0000      -0.0000       1
armas                                    arms                                          -0.0000      -0.0000       1
productores                              producers                                     -0.0000      -0.0000       1
tienen                                   profit                                        -0.0000       1.5850       1
en cualquier caso                        in any event                                  -0.0000       1.0000       1
en cualquier caso ,                      in any event ,                                -0.0000      -0.0000       1
en cualquier caso , este                 in any event , this                           -0.0000      -0.0000       1
cualquier caso                           any event                                     -0.0000       1.5850       1
cualquier caso ,                         any event ,                                   -0.0000      -0.0000       1
cualquier caso , este                    any event , this                              -0.0000      -0.0000       1
caso ,                                   event ,                                       -0.0000      -0.0000       1
caso , este                              event , this                                  -0.0000      -0.0000       1
, este                                   , this                                        -0.0000      -0.0000       1
orden de los trabajos                    agenda                                         1.5850      -0.0000       1
procede                                  next item                                     -0.0000      -0.0000       1
13                                       13                                            -0.0000      -0.0000       1
al lunes y al                            to monday and                                 -0.0000      -0.0000       1
miércoles                                relating to wednesday                         -0.0000       1.0000       1
miércoles :                              relating to wednesday :                       -0.0000      -0.0000       1
se                                       included                                      -0.0000       6.5699       1
administrativa                           administrative                                 1.0000      -0.0000       1
reforma administrativa                   administrative reform                         -0.0000      -0.0000       1
a                                        the                                            6.8948       6.8202       1
a favor y a                              favour and                                    -0.0000      -0.0000       1
contra .                                 against .                                     -0.0000      -0.0000       1
programa político                        political programme                           -0.0000      -0.0000       1
una propuesta                            a proposal                                    -0.0000      -0.0000       1
septiembre y                             september and                                 -0.0000      -0.0000       1
explícita                                explicitly                                    -0.0000       1.0000       1
a                                        because                                        4.7004       6.8202       1
organismo                                body                                          -0.0000      -0.0000       1
con                                      so                                             3.4594       6.1898       1
un                                       then                                           1.5850       6.8074       1
su programa                              its programme                                 -0.0000      -0.0000       1
los ciudadanos .                         citizens .                                     1.0000      -0.0000       1
resolución                               resolution                                    -0.0000       1.0000       1
15                                       15                                            -0.0000      -0.0000       1
han                                      events                                        -0.0000       4.5236       1
semana pasada                            last week                                     -0.0000      -0.0000       1
sólo                                     simply                                        -0.0000       4.7004       1
comisión no está                         commission is not                             -0.0000      -0.0000       1
ese programa                             this programme                                -0.0000      -0.0000       1
lo                                       it                                             4.5236       5.4263       1
su presidente                            its president                                 -0.0000      -0.0000       1
su presidente ,                          its president ,                               -0.0000      -0.0000       1
está en                                  is in                                         -0.0000       1.0000       1
vicepresidenta                           vice-president de                             -0.0000       1.5850       1
votar                                    voting                                        -0.0000      -0.0000       1
se                                       how                                            2.8074       6.5699       1
presentar                                present                                        1.5850       1.0000       1
o bien                                   alternatively                                 -0.0000      -0.0000       1
mi opinión                               my opinion                                    -0.0000      -0.0000       1
esta segunda                             this second                                   -0.0000      -0.0000       1
dado                                     imply                                         -0.0000       2.0000       1
lo                                       duty                                          -0.0000       5.4263       1
introducir                               introducing                                   -0.0000       1.5850       1
original                                 original                                      -0.0000      -0.0000       1
todos                                    consists                                      -0.0000       4.7004       1
grupos políticos                         political groups                               1.0000      -0.0000       1
escrito                                  writing                                       -0.0000      -0.0000       1
febrero                                  february                                      -0.0000      -0.0000       1
al                                       hear                                           1.5850       5.1293       1
ya                                       longer                                         1.5850       3.8074       1
ante                                     meant                                         -0.0000       2.5850       1
escuchar                                 listen                                        -0.0000       1.0000       1
reflexionar                              reflect                                       -0.0000      -0.0000       1
como                                     justification                                 -0.0000       5.5850       1
conciudadanos                            fellow citizens                               -0.0000      -0.0000       1
conciudadanos .                          fellow citizens .                             -0.0000      -0.0000       1
ha mencionado                            mentioned                                      2.0000      -0.0000       1
encontrar                                find                                          -0.0000      -0.0000       1
a hablar                                 to speak                                      -0.0000      -0.0000       1
así                                      prior                                          1.0000       3.0000       1
basa                                     based                                         -0.0000      -0.0000       1
basa .                                   based .                                       -0.0000      -0.0000       1
en este                                  on this                                        1.5850       2.5850       1
voto .                                   vote .                                         1.0000      -0.0000       1
( aplausos                               ( applause                                    -0.0000      -0.0000       1
( aplausos del                           ( applause from the                           -0.0000      -0.0000       1
aplausos                                 applause                                      -0.0000      -0.0000       1
aplausos del                             applause from the                             -0.0000      -0.0000       1
aplausos del grupo pse                   applause from the pse group                   -0.0000      -0.0000       1
del                                      from the                                       1.0000       4.4594       1
del grupo pse                            from the pse group                            -0.0000      -0.0000       1
del grupo pse )                          from the pse group )                          -0.0000      -0.0000       1
pse                                      pse                                           -0.0000      -0.0000       1
grupo pse                                pse group                                     -0.0000      -0.0000       1
grupo pse )                              pse group )                                   -0.0000      -0.0000       1
muy claro que                            it very clear that                            -0.0000      -0.0000       1
todo                                     above all                                      1.0000       4.0875       1
comisión tiene                           commission has                                 2.3219       1.0000       1
tiene                                    has                                            5.7004       2.3219       1
este parlamento y                        this parliament and                           -0.0000      -0.0000       1
entre ellas                              amongst                                        1.5850      -0.0000       1
su orden del día                         its agenda                                    -0.0000      -0.0000       1
orden del día                            agenda                                         1.5850       1.0000       1
el parlamento                            parliament                                     5.8580       1.0000       1
decidir                                  decide                                        -0.0000      -0.0000       1
presidente prodi                         president prodi                               -0.0000      -0.0000       1
programa legislativo                     legislative programme                         -0.0000      -0.0000       1
actuación                                action                                         2.8074      -0.0000       1
ese debate                               debate whenever                               -0.0000      -0.0000       1
ese                                      whenever                                      -0.0000       3.0000       1
un discurso                              a speech                                      -0.0000      -0.0000       1
discurso                                 speech                                         1.5850      -0.0000       1
reiterar                                 repeat                                        -0.0000      -0.0000       1
debatido                                 debated                                        1.0000      -0.0000       1
semana si                                week if                                       -0.0000      -0.0000       1
parte                                    explain                                       -0.0000       2.8074       1
año 2000                                 2000                                           1.0000       1.0000       1
del grupo del                            group                                          4.7549      -0.0000       1
petición )                               request )                                     -0.0000      -0.0000       1
presidente .                             president .                                   -0.0000      -0.0000       1
, tengo                                  , i have                                      -0.0000      -0.0000       1
, tengo otra                             , i have another                              -0.0000      -0.0000       1
, tengo otra propuesta                   , i have another proposal                     -0.0000      -0.0000       1
tengo                                    i have                                         2.0000      -0.0000       1
tengo otra                               i have another                                -0.0000      -0.0000       1
tengo otra propuesta                     i have another proposal                       -0.0000      -0.0000       1
otra propuesta                           another proposal                              -0.0000      -0.0000       1
oral                                     oral                                          -0.0000      -0.0000       1
pregunta oral                            oral question                                 -0.0000      -0.0000       1
palabra en nombre                        speak on behalf                               -0.0000      -0.0000       1
la palabra en nombre del                 speak on behalf of                            -0.0000      -0.0000       1
